id,上訴,被告,契約,工程,原告,系爭,本院,請求,條第,給付,公司,施工,部分,萬元,品質計畫書,品質成果報告書,計罰,扣法,總額預定,非賠償總額預定
163,14,157,166,267,252,228,126,29,35,42,10,120,66,21,0,0,29,0,0,0
164,5,58,16,100,0,0,19,2,24,2,101,30,11,8,0,0,0,0,0,0
165,79,0,37,61,0,46,10,5,7,7,1,5,14,0,0,0,1,0,0,0
166,202,0,161,260,1,122,18,29,46,8,83,141,35,3,0,0,0,0,0,0
167,136,0,28,27,0,22,7,23,18,19,32,15,30,0,0,0,0,0,0,0
168,5,42,8,95,69,31,14,32,9,26,13,5,7,0,0,0,0,0,0,0
169,14,344,66,432,0,2,126,4,40,42,142,79,109,46,0,0,1,0,0,0
170,11,103,80,117,147,91,51,57,28,39,9,61,12,4,0,0,3,0,0,0
171,4,304,139,239,379,193,87,57,13,36,8,58,164,18,0,0,0,0,0,0
172,44,146,137,482,52,35,75,34,16,27,323,62,77,43,0,0,0,0,0,0
173,38,192,74,451,0,0,59,8,43,15,560,60,134,31,0,0,0,0,0,0
174,7,171,139,75,199,127,9,27,18,47,9,16,7,27,0,0,0,0,0,0
175,1346,0,274,622,0,411,146,80,21,66,91,404,117,48,0,0,1,0,3,0
176,4,53,21,50,50,32,12,26,27,18,5,2,9,1,0,0,0,0,0,0
177,4,73,159,355,112,114,20,58,9,60,0,19,103,1,0,0,0,0,0,0
178,206,0,26,96,0,102,23,19,8,14,96,5,16,6,0,0,1,0,0,0
179,608,0,145,404,0,210,67,138,79,105,91,109,197,21,0,0,0,0,0,0
180,608,0,145,404,0,210,67,138,79,105,91,109,197,21,0,0,0,0,0,0
181,4,85,44,162,130,49,30,9,7,16,37,3,28,35,0,0,1,0,0,0
182,39,537,5,22,0,228,138,11,26,5,80,20,147,6,0,0,0,0,0,0
183,30,0,132,149,0,122,26,66,17,66,455,10,88,21,0,0,1,0,0,0
184,31,0,4,4,1,7,5,7,1,6,4,1,9,0,0,0,0,0,0,0
185,5,114,30,38,81,36,21,34,34,23,3,5,4,4,0,0,0,0,0,0
186,42,1,31,171,0,182,13,61,41,50,473,27,48,46,0,0,0,0,0,0
187,5,244,67,119,187,60,82,37,17,34,71,7,19,78,0,0,0,0,0,0
188,195,0,76,89,0,44,18,42,18,37,35,48,28,11,0,0,4,0,0,0
189,231,0,31,198,0,38,32,39,32,79,48,3,28,37,0,0,0,0,0,0
190,305,0,130,86,0,130,15,31,27,20,58,16,21,36,0,0,0,0,0,0
191,358,0,11,199,0,3,10,47,16,39,110,77,25,8,0,0,0,0,1,0
192,11,122,108,82,85,93,21,41,28,34,19,3,16,8,0,0,0,0,0,0
193,4,144,46,302,81,135,24,39,16,43,150,24,49,5,0,0,0,0,0,0
194,5,211,127,18,219,30,3,16,5,42,1,1,20,37,0,0,0,0,0,0
195,4,308,170,92,393,119,136,44,89,30,150,62,95,28,1,0,96,0,0,0
196,283,0,89,108,1,179,17,132,162,69,5,24,109,0,0,0,0,0,0,0
197,4,119,97,166,195,147,13,82,13,45,3,64,106,40,0,0,0,0,0,0
198,4,86,29,175,81,104,27,20,9,49,7,2,10,50,0,0,0,0,0,0
199,105,0,53,47,0,64,15,19,3,11,2,13,30,7,0,0,0,0,1,0
200,185,0,68,264,1,134,10,24,78,10,5,19,18,3,0,0,1,0,2,0
201,36,0,233,132,0,156,47,122,85,31,2,15,102,5,0,0,5,0,7,0
202,3,133,83,53,140,44,24,28,9,32,0,20,25,34,0,0,0,0,0,0
203,4,79,34,52,76,19,11,5,2,4,83,4,15,5,0,0,0,0,0,0
204,4,49,32,66,77,62,4,8,11,9,18,16,16,1,3,13,0,0,0,0
205,4,133,79,116,136,71,56,39,18,39,29,11,30,5,0,0,3,0,0,0
206,3,173,37,67,163,73,75,35,37,65,26,8,47,0,0,0,1,0,0,0
207,22,15,46,241,16,145,30,56,36,38,294,20,51,7,0,0,0,0,0,0
208,129,1768,48,2218,0,1,284,23,271,185,1152,311,1110,622,0,0,0,0,0,0
209,3,95,44,61,98,51,16,25,17,25,3,0,7,12,0,0,0,0,0,0
210,4,170,55,107,167,42,19,63,52,55,3,19,63,12,0,0,0,0,0,0
211,4,8,34,41,14,59,8,27,26,25,177,9,12,6,0,0,0,0,0,0
212,24,0,139,88,0,149,61,48,56,28,289,46,58,0,0,0,2,0,0,0
213,33,0,11,28,0,22,14,9,5,5,2,0,3,0,0,0,0,0,0,0
214,4,97,81,68,92,53,27,26,9,35,0,8,7,6,0,0,0,0,1,0
215,4,201,139,163,224,178,7,74,57,38,13,32,48,14,0,0,0,0,0,0
216,5,120,69,81,238,54,72,26,28,45,75,32,29,23,0,0,10,0,0,0
217,325,0,58,262,0,156,59,40,8,53,75,19,21,47,0,0,11,0,3,0
218,141,0,48,4,0,107,27,19,27,10,85,0,14,0,0,0,0,0,0,0
219,4,167,29,3,168,16,6,23,4,16,85,1,22,0,0,0,1,0,1,0
220,357,0,117,107,1,145,11,67,35,28,44,12,93,20,0,0,1,0,5,0
221,240,24,74,288,46,132,6,11,26,11,23,125,148,9,0,0,0,0,0,0
222,0,0,7,9,0,12,5,7,2,1,24,5,1,3,0,0,0,0,0,0
223,101,0,23,62,0,71,11,16,3,29,2,1,22,9,0,0,0,0,1,0
224,206,0,93,293,0,74,26,32,27,53,37,33,47,6,0,0,0,0,0,0
225,24,0,15,128,1,62,15,27,5,27,197,10,44,9,0,0,0,0,0,0
226,4,165,52,398,339,112,36,97,20,49,62,79,111,30,0,0,0,0,0,0
227,4,116,102,129,182,76,70,64,30,45,16,62,24,15,0,0,7,0,0,0
228,102,0,103,63,0,60,6,13,13,8,12,0,40,4,0,0,0,0,0,0
229,193,0,84,1,0,99,9,13,8,14,119,0,18,70,0,0,0,0,5,0
230,36,2,90,214,0,154,50,84,36,68,580,88,165,17,0,0,3,0,1,0
231,4,78,48,99,124,62,11,8,1,12,40,10,9,15,0,0,2,0,0,0
232,165,0,20,36,1,36,16,18,40,35,43,2,5,8,0,0,0,0,0,0
233,203,0,90,81,0,169,25,33,13,22,135,14,23,2,0,0,0,0,0,0
234,37,0,104,119,0,248,36,64,31,101,206,42,135,4,0,0,0,0,0,0
235,4,49,48,42,62,17,12,22,4,13,4,8,31,5,0,0,0,0,0,0
236,4,312,25,399,255,7,171,58,16,48,124,201,32,2,0,0,0,0,0,0
237,4,55,39,47,24,72,16,5,11,18,31,4,1,1,0,0,0,0,0,0
238,4,265,22,303,297,107,104,60,35,72,72,75,59,37,0,0,8,0,0,0
239,4,181,152,249,236,132,96,27,78,52,1,131,40,18,0,0,5,0,2,0
240,313,0,71,179,0,125,54,48,15,28,34,22,59,14,0,0,0,0,5,0
